date,time_start,time_end,sock_pass_um,sock_pass_m,sock_samp_um,sock_samp_m,coho,pink,dolly,chum
6/28/2024,1700,1725,0,0,0,0,0,0,0,0
6/29/2024,900,920,0,0,0,0,0,0,0,0
6/29/2024,1250,1440,0,0,0,0,0,0,0,0
6/29/2024,1700,1720,0,0,0,0,0,0,0,0
6/30/2024,930,1030,0,0,0,0,0,0,0,0
6/30/2024,1530,1615,0,0,0,0,0,0,0,0
7/1/2024,900,920,0,0,0,0,0,0,0,0
7/1/2024,1730,1800,0,0,0,0,0,0,0,0
7/2/2024,1000,1030,0,0,0,0,0,0,0,0
7/2/2024,1650,1720,0,0,0,0,0,0,0,0
7/3/2024,1030,1115,0,0,0,0,0,0,0,0
7/3/2024,1600,1630,0,0,0,0,0,0,0,0
7/4/2024,1000,1030,0,0,0,0,0,0,0,0
7/4/2024,1630,1700,0,0,0,0,0,0,0,0
7/5/2024,1000,1030,0,0,0,0,0,0,0,0
7/5/2024,1615,1645,2,0,0,0,0,0,0,0
7/6/2024,1000,1030,0,0,0,0,0,0,0,0
7/6/2024,1630,1715,0,0,0,0,0,0,0,0
7/7/2024,1000,1030,0,0,0,0,0,0,0,0
7/7/2024,1730,1800,0,0,0,0,0,0,0,0
7/8/2024,900,930,0,0,0,0,0,0,0,0
7/8/2024,1715,1730,0,0,0,0,0,0,0,0
7/9/2024,900,915,0,0,0,0,0,0,0,0
7/9/2024,1130,1300,0,0,0,0,0,0,0,0
7/9/2024,1745,1900,0,0,0,0,0,0,0,0
7/10/2024,1100,1115,0,0,0,0,0,0,0,0
7/10/2024,1345,1545,0,0,0,0,0,0,0,0
7/11/2024,915,930,0,0,0,0,0,0,0,0
7/11/2024,1030,1200,1,0,0,0,0,0,1,0
7/11/2024,1630,1745,0,0,0,0,0,0,0,0
7/12/2024,1230,1415,31,5,0,0,0,0,1,0
7/12/2024,1700,1920,439,2,0,0,8,0,49,0
7/12/2024,NA,NA,0,4,0,0,0,0,0,0
7/13/2024,915,1200,2,0,0,0,0,0,6,0
7/13/2024,1400,1900,6,1,0,0,2,0,2,0
7/13/2024,NA,NA,5,31,46,12,0,0,1,0
7/14/2024,915,1100,7,7,0,0,0,0,17,0
7/14/2024,1515,1800,24,25,0,0,11,0,6,0
7/15/2024,1000,1200,13,11,0,0,5,0,1,0
7/15/2024,1415,1600,107,80,0,0,2,0,4,0
7/15/2024,1700,1900,98,89,0,0,14,2,6,0
7/16/2024,945,1245,110,5,0,0,12,0,3,0
7/16/2024,1520,1815,241,40,0,0,14,2,0,0
7/17/2024,1035,1145,16,0,0,0,3,0,0,0
7/17/2024,1445,1615,118,0,0,0,3,0,1,0
7/17/2024,1800,1900,6,7,0,0,0,0,0,0
7/17/2024,NA,NA,7,12,0,0,9,0,0,0
7/18/2024,815,930,0,0,0,0,0,0,2,0
7/18/2024,1200,1230,0,0,0,0,0,0,0,0
7/18/2024,1730,1800,1,0,0,0,0,0,0,0
7/19/2024,900,1145,20,6,0,0,0,0,0,0
7/19/2024,1500,1715,51,9,0,0,0,0,2,0
7/19/2024,NA,NA,1,0,16,3,0,0,0,0
7/20/2024,1000,1100,1,0,0,0,0,0,0,0
7/20/2024,1415,1515,33,0,0,0,0,0,0,0
7/20/2024,1645,1730,0,0,0,0,0,0,0,0
7/20/2024,NA,NA,0,0,7,1,0,0,0,0
7/21/2024,1000,1100,0,0,0,0,0,0,0,0
7/21/2024,1430,1600,0,3,0,0,0,0,0,0
7/21/2024,1730,1830,2,0,0,0,0,0,0,0
7/22/2024,1000,1130,0,0,0,0,0,0,0,0
7/22/2024,1400,1530,0,0,0,0,0,0,0,0
7/22/2024,1645,1745,1,0,0,0,0,0,0,0
7/23/2024,1000,1100,0,0,0,0,0,0,0,0
7/23/2024,1400,1500,0,0,0,0,0,0,0,0
7/23/2024,1730,1830,0,0,0,0,0,0,0,0
7/24/2024,1000,1100,1,0,0,0,0,0,0,0
7/24/2024,1400,1500,1,0,0,0,0,0,0,0
7/24/2024,1700,2000,23,9,0,0,30,1,0,0
7/24/2024,NA,NA,0,0,6,0,4,0,0,0
7/25/2024,830,915,0,0,0,0,0,0,0,0
7/25/2024,1200,1300,0,0,0,0,0,0,0,0
7/25/2024,1700,1900,2,0,0,0,1,0,0,0
7/26/2024,930,1100,0,0,0,0,0,0,0,0
7/26/2024,1400,1600,3,0,0,0,2,0,0,0
7/26/2024,1800,1900,0,0,0,0,0,0,0,0
7/26/2024,NA,NA,0,0,15,5,0,0,0,0
7/27/2024,945,1115,0,0,0,0,0,0,0,0
7/27/2024,1330,1530,25,0,0,0,3,0,0,0
7/27/2024,1730,1830,0,0,0,0,0,0,0,0
7/27/2024,NA,NA,0,1,8,2,0,0,0,0
7/28/2024,815,915,0,0,0,0,0,0,0,0
7/28/2024,1500,1600,0,0,0,0,0,0,0,0
7/28/2024,1800,1900,0,0,0,0,0,0,0,0
7/29/2024,815,900,0,0,0,0,0,0,0,0
7/29/2024,1500,1600,0,0,0,0,0,0,0,0
7/29/2024,1900,2000,0,0,0,0,0,0,0,0
7/29/2024,NA,NA,33,0,0,0,17,0,0,0
7/30/2024,1000,1100,0,2,0,0,1,0,0,0
7/30/2024,1400,1500,0,0,0,0,0,0,0,0
7/30/2024,1700,1900,6,3,0,0,1,0,0,0
7/31/2024,930,1100,0,0,0,0,0,0,0,0
7/31/2024,1445,1900,13,7,0,0,40,0,1,0
7/31/2024,NA,NA,0,0,46,12,0,0,0,0
8/1/2024,800,915,22,20,0,0,2,0,0,0
8/1/2024,1030,1130,4,14,0,0,2,0,0,0
8/1/2024,1700,1800,210,0,0,0,56,11,2,0
8/1/2024,NA,NA,47,0,15,3,1,0,0,0
8/2/2024,1000,1030,0,0,0,0,0,0,0,0
8/2/2024,1400,1500,10,5,0,0,2,1,0,0
8/2/2024,1700,1800,58,13,0,0,7,2,0,0
8/3/2024,945,1100,12,9,0,0,0,1,0,0
8/3/2024,1400,1500,0,0,0,0,0,0,0,0
8/3/2024,1700,1800,16,15,0,0,0,0,0,0
8/4/2024,1000,1100,0,0,0,0,0,0,0,0
8/4/2024,1630,1730,0,0,0,0,0,0,0,0
8/5/2024,900,1000,0,0,0,0,0,0,0,0
8/5/2024,1200,1300,20,0,0,0,0,0,0,0
8/5/2024,1730,1830,0,0,0,0,0,0,0,0
8/6/2024,1000,1100,0,4,0,0,0,0,0,0
8/6/2024,1400,1500,0,0,0,0,0,0,0,0
8/6/2024,1700,1800,0,1,0,0,0,0,0,0
8/7/2024,1000,1100,0,0,0,0,5,0,0,0
8/7/2024,1400,1500,12,9,0,0,1,0,0,0
8/7/2024,1700,1800,20,9,0,0,2,0,0,0
8/7/2024,NA,NA,0,0,5,1,0,0,0,0
8/8/2024,830,915,0,0,0,0,0,0,0,0
8/8/2024,1200,1300,0,0,0,0,0,0,0,0
8/8/2024,1630,1730,0,0,0,0,0,0,0,0
8/9/2024,1000,1100,0,0,0,0,0,0,0,0
8/9/2024,1400,1500,0,0,0,0,0,0,0,0
8/9/2024,1700,1800,0,0,0,0,0,0,0,0
8/10/2024,1000,1130,3,0,0,0,0,0,0,0
8/10/2024,1700,1800,1,0,0,0,0,0,0,0
8/11/2024,1000,1140,3,0,0,0,0,0,0,0
8/11/2024,1500,1600,1,0,0,0,0,0,0,0
8/11/2024,1800,1900,0,0,0,0,0,0,0,0
8/12/2024,1000,1200,0,3,0,0,21,0,0,0
8/12/2024,1400,1900,8,21,0,0,4,0,0,0
8/12/2024,NA,NA,21,0,0,0,68,0,1,0
8/12/2024,NA,NA,246,0,0,0,55,3,1,0
8/12/2024,NA,NA,638,31,0,0,131,57,9,0
8/12/2024,NA,NA,0,0,32,8,0,0,0,0
8/13/2024,930,1330,318,0,0,0,31,3,0,0
8/13/2024,1600,2000,9,0,0,0,8,2,0,0
8/13/2024,NA,NA,213,0,0,0,37,3,0,0
