date,year,esc_daily,jul_day
2001-07-04,2001,0,185
2001-07-05,2001,0,186
2001-07-06,2001,61,187
2001-07-07,2001,907,188
2001-07-08,2001,431,189
2001-07-09,2001,48,190
2001-07-10,2001,67,191
2001-07-11,2001,92,192
2001-07-12,2001,27,193
2001-07-13,2001,5,194
2001-07-14,2001,54,195
2001-07-15,2001,4,196
2001-07-16,2001,111,197
2001-07-17,2001,7,198
2001-07-18,2001,7,199
2001-07-19,2001,11,200
2001-07-20,2001,3,201
2001-07-21,2001,0,202
2001-07-22,2001,0,203
2001-07-23,2001,0,204
2001-07-24,2001,2,205
2001-07-25,2001,868,206
2001-07-26,2001,2146,207
2001-07-27,2001,158,208
2001-07-28,2001,31,209
2001-07-29,2001,36,210
2001-07-30,2001,32,211
2001-07-31,2001,2,212
2001-08-01,2001,5,213
2001-08-02,2001,19,214
2001-08-03,2001,18,215
2001-08-04,2001,1,216
2001-08-05,2001,3,217
2001-08-06,2001,17,218
2001-08-07,2001,21,219
2001-08-08,2001,60,220
2001-08-09,2001,49,221
2001-08-10,2001,23,222
2001-08-11,2001,9,223
2001-08-12,2001,33,224
2001-08-13,2001,72,225
2001-08-14,2001,76,226
2001-08-15,2001,1056,227
2001-08-16,2001,680,228
2001-08-17,2001,332,229
2001-08-18,2001,337,230
2001-08-19,2001,194,231
2001-08-20,2001,227,232
2001-08-21,2001,109,233
2001-08-22,2001,42,234
2001-08-23,2001,93,235
2001-08-24,2001,21,236
2001-08-25,2001,32,237
2001-08-26,2001,136,238
2001-08-27,2001,2481,239
2001-08-28,2001,551,240
2001-08-29,2001,67,241
2001-08-30,2001,31,242
2001-08-31,2001,7,243
2001-09-01,2001,10,244
2001-09-02,2001,121,245
2001-09-03,2001,9,246
2001-09-04,2001,3,247
2001-09-05,2001,45,248
2001-09-06,2001,14,249
2001-09-07,2001,1,250
2001-09-08,2001,1,251
2001-09-09,2001,1,252
2002-07-01,2002,0,182
2002-07-02,2002,0,183
2002-07-03,2002,0,184
2002-07-04,2002,3,185
2002-07-05,2002,0,186
2002-07-06,2002,0,187
2002-07-07,2002,0,188
2002-07-08,2002,0,189
2002-07-09,2002,0,190
2002-07-10,2002,4,191
2002-07-11,2002,1,192
2002-07-12,2002,0,193
2002-07-13,2002,0,194
2002-07-14,2002,5,195
2002-07-15,2002,1,196
2002-07-16,2002,0,197
2002-07-17,2002,0,198
2002-07-18,2002,0,199
2002-07-19,2002,0,200
2002-07-20,2002,0,201
2002-07-21,2002,1,202
2002-07-22,2002,2,203
2002-07-23,2002,7,204
2002-07-24,2002,4,205
2002-07-25,2002,598,206
2002-07-26,2002,751,207
2002-07-27,2002,44,208
2002-07-28,2002,95,209
2002-07-29,2002,29,210
2002-07-30,2002,0,211
2002-07-31,2002,61,212
2002-08-01,2002,5,213
2002-08-02,2002,1,214
2002-08-03,2002,18,215
2002-08-04,2002,0,216
2002-08-05,2002,1,217
2002-08-06,2002,25,218
