Year,Project Code,Project,Species Code,Species,Sample Date,Stat Week,Port Code,District,Stat Area,Stream no,Stream,Gear Code,Gear,Sample Comments,Scale Card No,Specimen Number,Sex Code,Sex,Length Type Code,Length mm,Average Length mm,Average Weight kg,Age European,Cwt Strap Tag No,Dna Specimen No,Spaghetti Tag No,Otolith Tray Cell No,Otolith Bp Strap Tag No,Scale Image Name,Thermal Mark Presence,Thermal Mark Id,Tahltan Tuya,Specimen Comments,Adipose Clipped Signal
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,1,1,02,Female,02,470,470.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,1,2,02,Female,02,500,500.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,1,3,02,Female,02,430,430.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,1,4,02,Female,02,440,440.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,1,5,01,Male,02,480,480.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,1,6,02,Female,02,480,480.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,1,7,01,Male,02,440,440.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,1,8,01,Male,02,510,510.00,0.00,,,,,,,,,,,resorbed,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,2,1,01,Male,02,520,520.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,2,2,01,Male,02,510,510.00,0.00,13,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,2,3,01,Male,02,490,490.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,2,4,02,Female,02,480,480.00,0.00,,,,,,,,,,,scales inverted,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,2,5,02,Female,02,480,480.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,2,6,02,Female,02,515,515.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,2,7,02,Female,02,520,520.00,0.00,,,,,,,,,,,scales inverted,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,2,8,02,Female,02,550,550.00,0.00,,,,,,,,,,,scales inverted,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,2,9,01,Male,02,520,520.00,0.00,13,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,2,10,01,Male,02,505,505.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,3,1,02,Female,02,500,500.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,3,2,01,Male,02,580,580.00,0.00,,,,,,,,,,,resorbed,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,3,3,02,Female,02,460,460.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,3,4,01,Male,02,495,495.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,3,5,02,Female,02,520,520.00,0.00,13,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,3,6,01,Male,02,470,470.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,3,7,02,Female,02,520,520.00,0.00,22,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,3,8,01,Male,02,470,470.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,3,9,02,Female,02,550,550.00,0.00,13,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,3,10,02,Female,02,550,550.00,0.00,23,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,4,1,02,Female,02,455,455.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,4,2,01,Male,02,455,455.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,4,3,01,Male,02,490,490.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,4,4,02,Female,02,545,545.00,0.00,13,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,4,5,01,Male,02,495,495.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,4,6,02,Female,02,470,470.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,4,7,02,Female,02,465,465.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,4,8,01,Male,02,475,475.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,4,9,02,Female,02,510,510.00,0.00,13,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,4,10,01,Male,02,505,505.00,0.00,,,,,,,,,,,resorbed,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,5,1,01,Male,02,515,515.00,0.00,,,,,,,,,,,resorbed,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,5,2,01,Male,02,460,460.00,0.00,12,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,5,3,02,Female,02,500,500.00,0.00,,,,,,,,,,,regenerated,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,5,4,02,Female,02,545,545.00,0.00,13,,,,,,,,,,,
2024,394,Klag Lake - Esc.,420,Sockeye,7/13/2024,28,,113,113-72,113-72-007,Klag Lake,14,Weir,,5,5,01,Male,02,555,555.00,0.00,,,,,,,,,,,resorbed,
