Date,Staff Gauge (cm),Rain Gauge (mm),Air Temp (°C),Water Temp (°C),Daily Escapement
6/30/2010,36.576,2.54,12.22222222,13.88888889,0
7/1/2010,36.576,20,10,13.88888889,16
7/2/2010,36.576,2.54,10.55555556,13.88888889,18
7/3/2010,36.576,5.08,10.55555556,14.44444444,71
7/4/2010,42.672,27.94,10.55555556,13.88888889,82
7/5/2010,48.768,,10,13.33333333,47
7/6/2010,51.816,,11.66666667,13.33333333,81
7/7/2010,45.72,,12.22222222,13.88888889,56
7/8/2010,39.624,,11.11111111,15.55555556,1
7/9/2010,36.576,,12.22222222,16.11111111,43
7/10/2010,33.528,,11.66666667,16.11111111,28
7/11/2010,41.148,,9.444444444,15.55555556,179
7/12/2010,45.72,,10.55555556,14.44444444,264
7/13/2010,39.624,,11.66666667,15.55555556,51
7/14/2010,39.624,,10,15,114
7/15/2010,44.196,,10.55555556,14.44444444,181
7/16/2010,39.624,,10.55555556,14.44444444,30
7/17/2010,54.864,5.08,10.55555556,14.44444444,121
7/18/2010,33.528,0,11.66666667,15,59
7/19/2010,30.48,2.54,12.77777778,15.55555556,2
7/20/2010,27.432,5.08,11.11111111,14.44444444,0
7/21/2010,27.432,2.54,11.11111111,15,0
7/22/2010,30.48,5.08,12.22222222,15,5
7/23/2010,33.528,10.16,12.22222222,14.44444444,2
7/24/2010,42.672,7.62,11.66666667,15,2
7/25/2010,36.576,0,11.11111111,15,6
7/26/2010,33.528,2.54,11.11111111,14.44444444,0
7/27/2010,30.48,2.54,11.66666667,15.55555556,1
7/28/2010,27.432,2.54,11.11111111,15.55555556,16
7/29/2010,27.432,0,11.11111111,15.55555556,7
7/30/2010,27.432,0,12.22222222,16.66666667,0
7/31/2010,24.384,0,12.22222222,16.66666667,0
8/1/2010,30.48,25.4,13.88888889,16.66666667,11
8/2/2010,36.576,2.54,13.33333333,16.11111111,150
8/3/2010,33.528,0,12.77777778,15.55555556,12
8/4/2010,30.48,0,12.77777778,16.11111111,120
8/5/2010,27.432,5.08,13.33333333,15.55555556,49
8/6/2010,27.432,15.24,13.88888889,16.66666667,356
8/7/2010,30.48,10.16,13.33333333,15.55555556,366
8/8/2010,33.528,15.24,12.22222222,16.66666667,730
8/9/2010,36.576,2.54,13.33333333,16.11111111,1462
8/10/2010,33.528,5.08,13.33333333,15.55555556,218
8/11/2010,42.672,12.7,13.88888889,16.11111111,1147
8/12/2010,39.624,0,12.22222222,15.55555556,1306
8/13/2010,36.576,0,13.33333333,16.66666667,250
8/14/2010,30.48,1.27,14.44444444,16.66666667,222
8/15/2010,30.48,0,12.77777778,16.66666667,143
8/16/2010,27.432,0,13.33333333,17.77777778,174
8/17/2010,27.432,5.08,12.77777778,17.22222222,111
8/18/2010,30.48,25.4,10.55555556,16.11111111,1496
8/19/2010,48.768,27.94,10.55555556,15.55555556,1455
8/20/2010,42.672,7.62,11.11111111,15.55555556,273
8/21/2010,36.576,0,11.11111111,15.55555556,27
8/22/2010,33.528,5.08,11.11111111,15.55555556,4
8/23/2010,30.48,2.54,10.55555556,15.55555556,29
8/24/2010,33.528,20.32,11.66666667,15,34
8/25/2010,36.576,7.62,11.66666667,15,29
8/26/2010,36.576,12.7,,,25
8/27/2010,33.528,0,11.11111111,15.55555556,322
8/28/2010,30.48,5.08,11.66666667,15.55555556,123
8/29/2010,30.48,0,12.22222222,15,83
8/30/2010,30.48,0,15.55555556,12.77777778,27
8/31/2010,30.48,12.7,15,11.66666667,45
9/1/2010,27.432,2.54,15.55555556,12.22222222,15
9/2/2010,33.528,25.4,10,14.44444444,167
9/3/2010,33.528,1.27,10,15,12
9/4/2010,33.528,0,12.22222222,14.44444444,31
9/5/2010,45.72,12.7,10.55555556,14.44444444,432
9/6/2010,36.576,17.78,11.11111111,13.88888889,0
9/7/2010,33.528,0,10.55555556,13.88888889,30
9/8/2010,30.48,0,12.22222222,15,7
9/9/2010,30.48,10.16,11.66666667,14.44444444,49
9/10/2010,33.528,10.16,10,13.88888889,50
9/11/2010,30.48,2.54,10,13.33333333,6
9/12/2010,30.48,0,10,13.33333333,11
9/13/2010,27.432,0,10,13.33333333,2
9/14/2010,,,,15.05925926,0
