Date,Staff Gauge (cm),Rain Gauge (mm),Water Temp (°C),Air Temp (°C),Daily Escapement
6/27/2016,38.5,0,14.5,12.4,0
6/28/2016,38,0,14.7,11.5,3
6/29/2016,35,0,16.2,12.4,0
6/30/2016,34.5,12.5,16.1,12.5,5
7/1/2016,34.5,12,16.1,13,1
7/2/2016,44,38,15.2,12.2,0
7/3/2016,42,37.5,15.6,12,0
7/4/2016,36.5,37.5,16.5,12.8,0
7/5/2016,36.5,37.5,17.2,14.3,0
7/6/2016,34,37,17.3,13.6,0
7/7/2016,33.5,36.5,17.5,15.1,0
7/8/2016,31.5,36,18.1,15.4,0
7/9/2016,30,35,17.9,14.5,0
7/10/2016,29.5,35,17.4,13.6,0
7/11/2016,29,36,16.9,15.1,11
7/12/2016,29,36,17,15.9,1
7/13/2016,29,36.5,16.7,15.6,0
7/14/2016,27,36.5,16.8,15.4,1
7/15/2016,27,37.5,16.7,15.2,0
7/16/2016,27,37.5,16.1,14.7,0
7/17/2016,27,37.5,16.1,15.4,0
7/18/2016,26.5,38,16.2,14.8,0
7/19/2016,25,37,16.7,14.7,0
7/20/2016,25.5,37.5,16,14.5,0
7/21/2016,25,37,16.1,14.2,0
7/22/2016,26,39.5,15.3,13.1,0
7/23/2016,32,70,15.1,13.5,204
7/24/2016,65,113,15.3,14.4,330
7/25/2016,62,10,15.3,13,40
7/26/2016,57,26,15.6,13.2,92
7/27/2016,54,38,15.7,14.5,291
7/28/2016,72,90,15.7,14.7,30
7/29/2016,64,106,15.6,13.8,78
7/30/2016,59,122,15.8,14.2,40
7/31/2016,50,10,16.1,14.5,4
8/1/2016,44,13.5,16.2,14.5,170
8/2/2016,40,13.5,16.8,15.1,99
8/3/2016,40,24,16.9,15.1,242
8/4/2016,43,23,16.7,14,364
8/5/2016,40.5,23,16.8,15.2,105
8/6/2016,38.5,28.5,17.2,15.8,174
8/7/2016,36.5,30.5,17.7,16,155
8/8/2016,36.5,38.5,17.5,15.6,822
8/9/2016,48.5,62.5,17.4,16.4,87
8/10/2016,52,81,17.3,14.9,110
8/11/2016,64,102,17.7,16.4,635
8/12/2016,50,11,18,17.5,56
8/13/2016,52,20,19.5,17.8,0
8/14/2016,55,40,18.2,16.2,297
8/15/2016,60,63,19.7,18.9,46
8/16/2016,60,81,18,16,35
8/17/2016,53.5,80,16,15.4,15
8/18/2016,49,94,17.1,16,11
8/19/2016,53.5,102,16.2,15.5,10
8/20/2016,48,1.5,16.3,13.8,24
8/21/2016,32,1.5,17.2,15.1,2
8/22/2016,39,1.6,17,14,22
8/23/2016,36,10,17,15.7,26
8/24/2016,47,21,17,15,376
8/25/2016,54,30,16.5,15,28
8/26/2016,72,77,16,,144
8/27/2016,66.5,79.5,16,13.5,29
8/28/2016,52,78,,14,0
8/29/2016,45,79,16.8,13.5,2
8/30/2016,41.5,82,15,16.5,0
8/31/2016,37.5,81,14.5,16,1
9/1/2016,35,81.5,14.5,10.2,4
9/2/2016,34,80.5,15,14.5,0
9/3/2016,32.5,80.5,14.8,11.5,10
9/4/2016,32,80,14.9,11,1
9/5/2016,31.5,87,14,10.5,1
