Date,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
26-Jun,,,,,,,,,,,,,,,,,,,,,,,0
27-Jun,,,0,,,,,,,,,,,,,0,,,,0,,,0
28-Jun,,,9,,,,,,,,,,,0,,3,,0,,0,0,,0
29-Jun,,,1,,,,,,,0,0,8,0,0,,0,0,0,0,0,0,,0
30-Jun,,,3,,,,,,0,0,0,18,0,0,0,5,0,0,0,0,0,0,0
1-Jul,,0,0,0,,0,,,0,16,0,17,0,0,0,1,2,0,0,5,0,0,0
2-Jul,,0,0,0,,14,,,0,18,0,29,0,0,22,0,0,0,0,0,0,0,0
3-Jul,,0,0,0,,4,,,0,71,0,5,0,0,18,0,5,0,0,0,0,0,0
4-Jul,0,3,3,0,,1,,,0,82,0,3,40,0,0,0,0,0,0,0,0,0,0
5-Jul,0,0,0,0,,0,0,0,0,47,1,0,8,0,0,0,1,0,0,0,0,0,2
6-Jul,61,0,21,0,,0,0,0,0,81,4,0,8,0,3,0,0,0,0,0,0,0,0
7-Jul,907,0,1,0,36,0,0,0,0,56,4,0,8,0,0,0,15,0,0,0,0,0,0
8-Jul,431,0,16,0,48,0,0,0,0,1,4,0,126,6,1,0,0,0,0,0,0,0,0
9-Jul,48,0,0,0,1,1,0,0,0,43,2,0,148,93,2,0,0,0,0,0,0,0,0
10-Jul,67,4,0,0,9,0,3,0,0,28,4,7,133,4,2,0,0,0,0,0,0,0,0
11-Jul,92,1,0,0,0,0,0,0,0,179,2,1,20,0,115,11,0,0,0,0,0,0,0
12-Jul,27,0,2,0,0,0,279,0,0,264,0,1,31,138,12,1,0,1,0,0,3,0,0
13-Jul,5,0,0,0,0,0,20,0,0,51,0,2,0,108,102,0,0,3,0,0,0,1,0
14-Jul,54,5,0,0,0,0,0,4,0,114,9,1,0,0,214,1,1,4,0,0,2,0,0
15-Jul,4,1,0,0,0,0,2,0,0,181,0,0,0,0,9,0,0,0,0,0,0,0,19
16-Jul,111,0,0,0,0,0,5,9,0,30,0,2,0,0,72,0,5,52,0,0,26,3,0
17-Jul,7,0,0,0,0,0,1,3,0,121,0,0,0,0,269,0,5,23,0,1,13,1,0
18-Jul,7,0,0,0,963,0,0,46,0,59,0,0,0,4,473,0,145,8,0,11,17,20,0
19-Jul,11,0,0,0,612,0,0,181,0,2,0,0,0,0,90,0,1,3,0,98,9,10,0
20-Jul,3,0,0,0,118,2,60,25,78,0,0,0,0,0,78,0,1,0,2,409,18,23,0
21-Jul,0,1,0,0,21,4,2,177,28,0,0,0,0,0,21,0,1,0,3,46,24,50,0
22-Jul,0,2,126,0,12,2,12,7,2,5,0,0,0,0,15,0,17,0,5,43,7,42,0
23-Jul,0,7,42,0,23,0,24,20,239,2,0,0,4,0,3,204,0,0,1,55,12,105,0
24-Jul,2,4,34,0,4,0,11,0,117,2,0,0,73,0,113,330,3,0,0,0,3,113,46
25-Jul,868,598,20,0,5,0,0,6,21,6,0,0,24,0,6,40,0,0,0,121,6,19,44
26-Jul,"2,146",751,74,0,113,44,1,2,39,0,356,0,5,6,35,92,0,0,0,158,2,12,113
27-Jul,158,44,28,16,"2,026",122,0,57,272,1,298,0,190,59,47,291,2,0,5,85,10,30,132
28-Jul,31,95,3,"7,015",694,150,0,3,104,16,900,0,126,71,270,30,1,0,459,0,1,96,2
29-Jul,36,29,"4,683",779,424,56,42,129,53,7,851,0,156,52,23,78,6,0,730,0,1,312,85
30-Jul,32,0,"2,734",326,1113,3,0,34,4,0,302,0,70,13,21,40,0,0,66,0,0,164,79
31-Jul,2,61,"1,218",246,553,26,0,118,13,0,213,18,89,1,32,4,1,0,106,14,0,55,2
1-Aug,5,5,674,19,324,458,0,32,0,11,46,937,47,17,18,170,10,0,40,7,0,175,0
2-Aug,19,1,1211,10,387,753,0,1,3,150,272,520,2,25,18,99,46,0,7,0,0,54,9
3-Aug,18,18,658,21,261,524,0,1,0,12,249,857,55,29,2,242,57,0,5,0,0,21,125
4-Aug,1,0,653,18,428,240,0,0,0,120,372,"1,175",158,38,0,364,234,0,3,0,193,20,175
5-Aug,3,1,471,17,1016,"1,649",0,0,0,49,442,59,199,24,1,105,102,0,0,46,535,4,299
6-Aug,17,25,565,104,469,"4,137",0,0,0,356,100,713,194,38,2,174,5,0,0,5,655,0,377
7-Aug,21,"2,192",401,40,282,"1,819",44,30,0,366,129,304,249,74,0,155,3,0,24,528,864,0,512
8-Aug,60,"4,577",213,26,298,565,160,6,0,730,117,242,462,59,7,822,0,1024,4,332,274,89,662
9-Aug,49,"1,699",191,82,203,88,413,7,4,"1,462",89,105,232,135,2,87,0,0,5,786,804,43,634
10-Aug,23,"1,941",183,68,219,94,256,15,22,218,126,35,260,421,5,110,0,226,0,0,901,61,794
11-Aug,9,215,54,147,143,103,90,4,50,"1,147",67,115,200,747,125,635,0,29,0,457,318,29,313
12-Aug,33,389,6,101,194,248,96,164,51,"1,306","1,022",64,407,22,131,56,0,102,2,126,896,34,67
13-Aug,72,333,201,117,176,873,22,522,153,250,493,92,137,334,114,0,0,188,1,1,0,135,146
14-Aug,76,235,917,114,199,431,25,744,190,222,507,18,75,36,85,297,1,232,0,5,200,59,96
15-Aug,"1,056",142,"4,331",150,54,252,3,310,261,143,"1,379",29,180,306,90,46,50,7,0,144,69,0,117
16-Aug,680,482,792,193,20,313,10,63,"3,126",174,"1,040",136,186,37,83,35,149,0,0,41,38,21,203
17-Aug,332,92,169,118,32,394,115,31,"1,174",111,415,15,218,2409,34,15,"1,235",0,1,7,273,178,82
18-Aug,337,69,159,229,125,0,14,30,"1,368","1,496",164,57,251,2409,427,11,"1,208",3,4,22,292,9,90
19-Aug,194,39,98,304,572,574,23,25,"2,202","1,455",71,60,192,2408,8,10,147,7,0,2,34,2,187
20-Aug,227,40,166,472,528,234,4,115,342,273,32,276,213,18,1,24,51,17,0,31,68,18,174
21-Aug,109,"2,413",92,927,73,133,1,28,375,27,194,65,50,2,8,2,37,23,5,0,25,7,146
22-Aug,42,236,48,796,108,224,33,6,363,4,210,78,89,5,2,22,13,31,11,10,17,7,146
23-Aug,93,122,41,327,101,283,1,339,134,29,126,127,572,2,4,26,11,2,346,4,115,4,63
24-Aug,21,66,85,419,94,938,277,104,163,34,140,127,425,0,15,376,7,34,335,20,41,26,133
25-Aug,32,22,72,368,286,819,326,70,348,29,102,103,360,49,3,28,1,3,15,23,32,80,116
26-Aug,136,20,24,347,65,157,771,22,874,25,99,132,24,34,1,144,2,13,15,13,24,11,463
27-Aug,"2,481",31,27,1716,50,21,603,70,77,322,66,19,34,51,0,29,22,93,614,9,37,43,222
28-Aug,551,303,16,915,49,0,690,15,814,123,58,"1,340",9,5,23,0,13,148,59,380,402,32,167
29-Aug,67,87,25,158,28,48,301,63,829,83,62,16,9,26,1,2,14,27,5,16,100,37,21
30-Aug,31,28,253,42,291,20,271,33,280,27,46,16,21,12,3,0,2,6,23,16,4,8,31
31-Aug,7,24,107,20,95,266,316,16,45,45,61,3,15,17,2,1,116,11,18,23,4,17,32
1-Sep,10,13,29,47,2,0,427,15,9,15,348,112,53,21,0,4,97,9,22,10,16,3,156
2-Sep,121,10,675,52,8,68,471,9,21,167,16,70,2,4,0,0,10,44,7,4,68,1,51
3-Sep,9,2,51,22,2,0,64,17,128,12,54,44,12,13,8,10,5,30,83,7,44,3,8
4-Sep,3,8,40,245,3,79,53,6,35,31,33,133,45,0,3,1,25,25,2,1,8,2,13
5-Sep,45,2,14,31,4,30,937,20,5,432,11,1,0,18,10,1,13,3,2,,0,0,5
6-Sep,14,0,9,14,3,80,620,10,1,0,44,3,0,,,,,11,1,,,,
7-Sep,1,133,1,,8,175,69,448,1,30,9,0,0,,,,,2,0,,,,
8-Sep,1,27,8,,,56,119,37,0,7,2,121,0,,,,,0,0,,,,
9-Sep,1,5,11,,,55,150,10,63,49,9,18,0,,,,,,,,,,
10-Sep,,8,6,,,29,68,11,202,50,0,0,0,,,,,,,,,,
11-Sep,,4,17,,,36,19,3,125,6,0,0,0,,,,,,,,,,
12-Sep,,,17,,,0,89,,7,11,0,0,0,,,,,,,,,,
13-Sep,,,0,,,,87,,10,2,0,0,0,,,,,,,,,,
14-Sep,,,,,,,0,,16,,,,,,,,,,,,,,
15-Sep,,,,,,,47,,,,,,,,,,,,,,,,
16-Sep,,,,,,,84,,,,,,,,,,,,,,,,
17-Sep,,,,,,,104,,,,,,,,,,,,,,,,
18-Sep,,,,,,,28,,,,,,,,,,,,,,,,
19-Sep,,,,,,,66,,,,,,,,,,,,,,,,
20-Sep,,,,,,,22,,,,,,,,,,,,,,,,
21-Sep,,,,,,,289,,,,,,,,,,,,,,,,
22-Sep,,,,,,,20,,,,,,,,,,,,,,,,
23-Sep,,,,,,,6,,,,,,,,,,,,,,,,
24-Sep,,,,,,,26,,,,,,,,,,,,,,,,
25-Sep,,,,,,,2,,,,,,,,,,,,,,,,
26-Sep,,,,,,,,,,,,,,,,,,,,,,,
